Ciudad_Mapa,Nombre_despacho,Link_Despacho
"Antioquia, Capital: Medellín",JUZGADO 001 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 001 ADMINISTRATIVO DE TURBO,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-turbo
"Antioquia, Capital: Medellín",JUZGADO 002 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 002 ADMINISTRATIVO DE TURBO,https://www.ramajudicial.gov.co/web/juzgado-701-administrativo-de-descongestion-de-turbo
"Antioquia, Capital: Medellín",JUZGADO 003 ADMINISTRATIVO DE TURBO,https://www.ramajudicial.gov.co/web/juzgado-003-administrativo-de-turbo-
"Antioquia, Capital: Medellín",JUZGADO 003 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 004 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 004 ADMINISTRATIVO DE TURBO,https://www.ramajudicial.gov.co/web/juzgado-004-administrativo-de-turbo
"Antioquia, Capital: Medellín",JUZGADO 005 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 005 ADMINISTRATIVO DE TURBO,https://www.ramajudicial.gov.co/web/juzgado-005-administrativo-de-turbo
"Antioquia, Capital: Medellín",JUZGADO 006 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-06-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 007 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-07-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 008 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-08-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 009 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-09-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 010 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-10-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 011 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-11-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 012 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-12-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 013 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-13-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 014 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-14-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 015 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-15-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 016 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-16-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 017 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-17-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 018 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-18-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 019 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-19-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 020 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-20-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 021 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-21-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 022 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-22-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 023 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-23-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 024 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-24-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 025 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-25-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 026 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-26-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 027 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-27-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 028 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-28-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 029 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-29-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 030 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-30-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 031 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-31-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 032 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-32-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 033 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-33-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 034 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-34-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 035 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-35-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 036 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-36-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 037 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-037-administrativo-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 401 ADMINISTRATIVO TRANSITORIO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-descongestion-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 413 ADMINISTRATIVO TRANSITORIO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-413-administrativo-transitorio-de-medellin
"Antioquia, Capital: Medellín",JUZGADO 414 ADMINISTRATIVO DE MEDELLÍN,https://www.ramajudicial.gov.co/web/juzgado-412-administrativo-de-medellin
"Antioquia, Capital: Medellín",OFICINA DE APOYO JUDICIAL DE LOS JUZGADOS ADMINISTRATIVOS DE MEDELLIN,https://www.ramajudicial.gov.co/web/oficina-de-apoyo-judicial
"Arauca, Capital: Arauca",JUZGADO 001 ADMINISTRATIVO DE ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-arauca
"Arauca, Capital: Arauca",JUZGADO 002 ADMINISTRATIVO DE ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-arauca
"Arauca, Capital: Arauca",JUZGADO 003 ADMINISTRATIVO DE ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-003-administrativo-de-arauca-
"Arauca, Capital: Arauca",JUZGADO 004 ADMINISTRATIVO DE ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-004-administrativo-de-arauca
"Arauca, Capital: Arauca",JUZGADO 005 ADMINISTRATIVO DE ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-005-administrativo-de-arauca
Archipiélago de San Andrés,JUZGADO 001 ADMINISTRATIVO DE ARCH. DE SAN ANDRÉS,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-san-andres
"Atlántico, Capital: Barranquilla",JUZGADO 001 ADMINISTRATIVO ORAL DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 002 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 003 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 004 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 005 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 006 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-06-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 007 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-07-administrativo-de-barranquilla
